n_rooms,n_toilets,area,x,y,distance_UBND,district,polistic,furniture,house_direct,balcony_direct,n_hospitals,n_schools,price
2,2,75,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Dong - Nam,0,0,43.33333333
3,2,100,21.08439675,105.7923603,4.33,Bac Tu Liem,so do,cao cap,Tay,Bac,1,5,39
3,3,102,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,4,17,39.21568627
3,3,103,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,4,17,39.5
2,2,74,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,day du,Bac,Dong - Nam,0,6,38.51351351
2,2,86,21.01682663,105.8152237,2.81,Dong Da,hdmb,day du,Dong - Bac,Tay - Nam,4,25,77.90697674
3,2,115,21.0324192,105.8313599,2.86,Ba Dinh,hdmb,day du,Tay - Nam,Nam,2,9,116
3,2,105.5,20.9919548,105.7851028,5.46,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Bac,1,2,42
2,2,59,21.00885201,105.7439194,6.97,Nam Tu Liem,hdmb,nguyen_ban,Dong - Bac,Tay - Nam,0,0,38.13559322
3,2,69,20.98483658,105.8598557,8.01,Hoang Mai,so do,co ban,Dong,Dong,1,5,37.68115942
4,3,190,21.00266647,105.8154297,4.17,Thanh Xuan,so do,cao cap,Tay - Bac,Dong - Nam,4,17,37.89473684
2,1,54,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,0,0,36.11111111
3,2,90,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,cao cap,Dong - Nam,Dong - Nam,0,5,40.55555556
2,2,78,21.03656769,105.7604828,4.47,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,1,6,41.02564103
4,3,127,20.94645882,105.8557816,10.92,Thanh Tri,so do,co ban,Dong - Nam,Tay - Bac,3,5,23.5
2,1,55,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,0,42.63636364
1,1,46.7,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Nam,Dong - Bac,0,0,29.97858672
3,2,118,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Tay - Bac,Dong - Nam,0,1,30
3,2,101,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Tay - Nam,Dong - Bac,0,4,59.40594059
3,2,105,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,cao cap,Dong - Nam,Tay - Bac,0,0,43.80952381
2,1,60,21.00580597,105.7943726,3.85,Cau Giay,so do,day du,Dong - Nam,Dong - Nam,2,13,50
3,2,96,21.02681732,105.7876663,2.34,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,0,4,63.54166667
4,3,122,21.01188278,105.7864456,3.6,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,2,8,52.45901639
3,2,102,21.0201683,105.7807541,3.3,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,4,58.82352941
3,2,113,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,co ban,Dong - Bac,Tay - Nam,0,1,57.52212389
3,2,95,21.07865143,105.8026123,3.58,Tay Ho,so do,day du,Bac,Dong - Nam,0,1,41.1
3,2,117,21.0026989,105.7924271,4.21,Cau Giay,so do,day du,Nam,Bac,2,13,38
2,2,86,21.00826073,105.7960434,3.57,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,12,59.30232558
3,2,118,21.01193619,105.7749939,4.29,Nam Tu Liem,so do,day du,Nam,Bac,0,1,30
3,2,100,21.01682663,105.8152237,2.81,Dong Da,so do,day du,Tay - Nam,Dong - Nam,4,25,70
2,2,70,20.97952843,105.7875671,6.57,Ha Dong,hdmb,day du,Tay - Nam,Dong - Nam,3,5,47.14285714
3,2,115,20.97447205,105.7608795,8.13,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,1,2,26.52173913
2,2,88,21.05967522,105.8040771,1.68,Tay Ho,so do,day du,Dong,Nam,2,4,57.38636364
3,2,90,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Bac,Nam,1,3,46.66666667
2,2,62,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Bac,Tay - Bac,0,0,30
2,1,59,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,0,43.22033898
2,1,47,21.00885201,105.7439194,6.97,Nam Tu Liem,so do,day du,Dong - Bac,Tay - Nam,0,0,37.23404255
3,2,97,21.09144402,105.7847214,5.25,Bac Tu Liem,so do,co ban,Tay - Bac,Dong - Bac,1,4,47
2,2,72,21.0124321,105.767395,4.82,Nam Tu Liem,so do,day du,Tay,Dong - Nam,0,1,44.44444444
2,2,101,21.012491,105.81132,3.11,Dong Da,so do,day du,Tay - Nam,Dong - Nam,3,23,40
3,2,100,21.07865143,105.8026123,3.58,Tay Ho,so do,cao cap,Dong,Dong - Nam,0,1,39
3,2,111,20.98702621,105.7868347,5.87,Ha Dong,so do,day du,Tay - Bac,Dong - Nam,1,4,43.24324324
2,2,95,21.00938606,105.7738724,4.56,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,0,1,46.84210526
3,2,96,21.02681732,105.7876663,2.34,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,0,4,58.33333333
2,2,97,21.07390404,105.7999802,3.13,Tay Ho,so do,day du,Dong - Nam,Dong - Bac,0,1,73.19587629
2,2,63,21.0024147,105.9641113,16.45,Gia Lam,so do,day du,Tay - Bac,Tay - Bac,0,0,31.74603175
2,2,87,21.0026989,105.7924271,4.21,Cau Giay,so do,day du,Dong - Nam,Tay - Bac,2,13,41.37931034
2,2,74,21.04956627,105.778595,2.69,Bac Tu Liem,so do,day du,Bac,Dong - Nam,1,3,40.54054054
2,2,80.36,21.02956772,105.7918777,1.85,Cau Giay,so do,day du,Tay - Bac,Dong - Nam,0,5,54.13140866
2,2,95,21.00938606,105.7738724,4.56,Nam Tu Liem,hdmb,day du,Tay - Bac,Dong - Nam,0,1,47.36842105
2,2,78,21.04423332,105.7673187,3.74,Bac Tu Liem,so do,cao cap,Tay - Bac,Dong - Nam,0,6,32.05128205
3,2,108,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,co ban,Tay - Bac,Dong - Nam,0,5,53.7037037
3,2,161.8,21.07865143,105.8026123,3.58,Tay Ho,hdmb,day du,Dong - Bac,Dong - Nam,0,1,69
3,2,108,21.03445816,105.7696533,3.61,Nam Tu Liem,so do,cao cap,Tay - Nam,Dong - Bac,0,5,48.14814815
3,2,114,21.04015923,105.7613144,4.35,Nam Tu Liem,hdmb,cao cap,Tay - Nam,Dong - Bac,1,6,48.72807018
2,3,152,21.03004456,105.7766266,3.09,Nam Tu Liem,so do,day du,Dong - Nam,Tay - Bac,0,5,35.5
